Country,Age,EdLevel,DevType,OrgSize,RemoteWork,YearsCode,YearsCodePro,NumLanguages,AISearch,AICode,JobSat,ConvertedCompYearly
Australia,65 years or older,"Professional degree (JD, MD, etc.)",Full-stack developer,500-999,Hybrid,34,34,3,0,0,3,142800.0
India,25-34 years old,Master's degree,Full-stack developer,100-499,In-person,9,8,6,1,1,9,
Spain,55-64 years old,"Other doctoral degree (Ph.D, Ed.D, etc.)",Mobile developer,100-499,Hybrid,30,29,4,1,1,6,107100.0
United States,25-34 years old,Bachelor's degree,Front-end developer,20-99,In-person,7,5,5,0,1,5,109600.0
Spain,25-34 years old,Bachelor's degree,Mobile developer,20-99,In-person,10,8,4,0,1,6,
Netherlands,25-34 years old,High school/GED,Back-end developer,"1,000-4,999",Hybrid,6,5,4,1,1,7,81100.0
Canada,25-34 years old,Bachelor's degree,Front-end developer,Just me,In-person,12,11,4,0,1,6,128100.0
Spain,25-34 years old,Master's degree,Full-stack developer,2-9 employees,Fully remote,1,1,9,1,1,4,58800.0
India,25-34 years old,Master's degree,Back-end developer,"10,000 or more",In-person,7,3,3,0,1,2,31600.0
United States,25-34 years old,Bachelor's degree,Front-end developer,10-19,Fully remote,5,5,6,1,1,8,145000.0
United States,35-44 years old,Bachelor's degree,Full-stack developer,100-499,In-person,14,13,4,1,1,9,224500.0
India,45-54 years old,Master's degree,Data scientist/ML engineer,"10,000 or more",Hybrid,28,24,6,1,0,1,54300.0
Germany,25-34 years old,Bachelor's degree,Full-stack developer,Just me,Fully remote,6,5,8,1,1,6,60200.0
Spain,25-34 years old,Bachelor's degree,Back-end developer,"10,000 or more",In-person,1,1,2,1,1,9,45400.0
United States,25-34 years old,Master's degree,Front-end developer,2-9 employees,Hybrid,8,8,5,1,1,1,121100.0
Russia,25-34 years old,Some college,Security professional,10-19,Fully remote,7,7,3,0,1,8,30400.0
Ukraine,18-24 years old,"Professional degree (JD, MD, etc.)",Full-stack developer,Just me,Hybrid,4,0,2,0,1,5,
Brazil,25-34 years old,"Other doctoral degree (Ph.D, Ed.D, etc.)",Front-end developer,100-499,Hybrid,8,5,4,1,1,8,45800.0
Russia,25-34 years old,Bachelor's degree,Front-end developer,"10,000 or more",Fully remote,3,0,3,0,1,8,40000.0
Poland,55-64 years old,Bachelor's degree,Full-stack developer,"10,000 or more",Hybrid,27,26,3,1,0,10,
United Kingdom,25-34 years old,Master's degree,Front-end developer,"1,000-4,999",Hybrid,6,2,2,1,1,5,77600.0
Canada,25-34 years old,Bachelor's degree,Full-stack developer,10-19,Fully remote,9,7,3,1,0,4,
Canada,35-44 years old,High school/GED,Full-stack developer,"10,000 or more",In-person,15,12,5,1,1,7,91900.0
United States,18-24 years old,"Professional degree (JD, MD, etc.)",Full-stack developer,"5,000-9,999",In-person,4,0,7,1,1,10,132300.0
United States,25-34 years old,Bachelor's degree,DevOps/SRE/platform engineer,20-99,Hybrid,12,8,7,0,1,2,183800.0
United Kingdom,35-44 years old,Associate's degree,Full-stack developer,"5,000-9,999",In-person,11,8,5,0,0,4,79300.0
United States,25-34 years old,Bachelor's degree,Back-end developer,"10,000 or more",Hybrid,10,6,4,1,1,9,
Sweden,25-34 years old,Associate's degree,Full-stack developer,"1,000-4,999",Hybrid,7,3,2,1,1,8,84000.0
United Kingdom,65 years or older,Associate's degree,Full-stack developer,2-9 employees,Hybrid,37,34,3,1,1,6,104600.0
India,45-54 years old,Bachelor's degree,Full-stack developer,"10,000 or more",In-person,22,22,4,1,1,7,64600.0
United States,35-44 years old,Bachelor's degree,Back-end developer,2-9 employees,Fully remote,15,14,2,1,1,5,157200.0
India,35-44 years old,Bachelor's degree,Full-stack developer,"1,000-4,999",Hybrid,18,16,1,1,0,10,34300.0
India,35-44 years old,"Other doctoral degree (Ph.D, Ed.D, etc.)",Full-stack developer,2-9 employees,Fully remote,13,12,5,1,1,6,32100.0
United States,25-34 years old,Master's degree,Data scientist/ML engineer,"10,000 or more",Hybrid,6,6,3,1,0,6,184400.0
Sweden,25-34 years old,Less than high school,Front-end developer,20-99,Hybrid,4,4,7,1,0,7,75500.0
India,18-24 years old,High school/GED,Full-stack developer,100-499,In-person,6,2,2,1,1,5,24900.0
Brazil,25-34 years old,Bachelor's degree,Back-end developer,10-19,Hybrid,7,6,4,1,1,4,74400.0
United States,25-34 years old,Bachelor's degree,Full-stack developer,100-499,Fully remote,5,5,5,1,0,7,128300.0
Russia,25-34 years old,Master's degree,Front-end developer,"10,000 or more",Hybrid,1,0,2,1,0,8,26200.0
Canada,55-64 years old,Bachelor's degree,Back-end developer,"10,000 or more",Fully remote,29,29,4,0,1,8,129100.0
France,45-54 years old,Associate's degree,Full-stack developer,2-9 employees,In-person,23,21,2,0,1,7,70800.0
Netherlands,35-44 years old,Bachelor's degree,Full-stack developer,100-499,Fully remote,10,10,3,1,0,8,115900.0
Canada,25-34 years old,Master's degree,Back-end developer,20-99,Hybrid,2,1,5,1,0,7,74000.0
United States,45-54 years old,"Professional degree (JD, MD, etc.)",Data scientist/ML engineer,100-499,Hybrid,28,24,6,0,1,9,226400.0
Germany,18-24 years old,Bachelor's degree,Full-stack developer,"10,000 or more",In-person,4,3,4,1,1,6,
India,35-44 years old,Bachelor's degree,Full-stack developer,"1,000-4,999",Hybrid,14,11,1,1,1,3,33200.0
Germany,18-24 years old,Some college,Back-end developer,20-99,Hybrid,1,0,5,1,1,6,62300.0
India,35-44 years old,Bachelor's degree,Front-end developer,100-499,Hybrid,12,10,5,1,1,9,26500.0
Australia,25-34 years old,Some college,Full-stack developer,"1,000-4,999",Fully remote,11,9,4,1,1,9,102500.0
India,45-54 years old,"Other doctoral degree (Ph.D, Ed.D, etc.)",Full-stack developer,20-99,Hybrid,22,20,4,0,0,7,52200.0
United States,55-64 years old,Master's degree,Full-stack developer,2-9 employees,Fully remote,26,26,6,1,1,2,153100.0
Sweden,25-34 years old,Master's degree,Full-stack developer,20-99,Fully remote,9,7,5,1,0,8,135000.0
Ukraine,25-34 years old,"Other doctoral degree (Ph.D, Ed.D, etc.)",Back-end developer,10-19,Hybrid,4,3,7,0,1,8,36200.0
Italy,65 years or older,Some college,Full-stack developer,20-99,In-person,44,40,5,1,0,7,72300.0
United Kingdom,25-34 years old,Master's degree,Front-end developer,"10,000 or more",In-person,11,9,3,0,1,4,98400.0
United States,45-54 years old,Master's degree,Engineer (other),10-19,In-person,20,19,1,1,1,7,171900.0
Russia,35-44 years old,Bachelor's degree,Front-end developer,"5,000-9,999",Fully remote,10,10,4,0,1,7,54700.0
United States,25-34 years old,Master's degree,Back-end developer,100-499,Hybrid,0,0,1,0,1,2,134800.0
United States,25-34 years old,Bachelor's degree,Desktop/embedded developer,"1,000-4,999",In-person,5,1,3,0,1,6,92700.0
United States,25-34 years old,Master's degree,Front-end developer,10-19,In-person,5,1,5,1,1,10,191500.0
France,35-44 years old,Bachelor's degree,DevOps/SRE/platform engineer,10-19,Hybrid,13,12,2,0,1,6,160600.0
United States,25-34 years old,Bachelor's degree,Front-end developer,10-19,In-person,8,4,10,0,0,6,105400.0
Netherlands,25-34 years old,Some college,Front-end developer,"1,000-4,999",In-person,5,1,4,0,0,7,82900.0
United States,25-34 years old,Less than high school,Full-stack developer,"1,000-4,999",Fully remote,4,4,5,1,0,5,165900.0
United States,35-44 years old,High school/GED,Back-end developer,"10,000 or more",In-person,15,14,4,1,1,3,156600.0
Germany,45-54 years old,Associate's degree,Back-end developer,100-499,In-person,26,22,1,1,1,7,129700.0
India,65 years or older,Bachelor's degree,Full-stack developer,100-499,Fully remote,30,29,3,1,1,7,53700.0
Italy,25-34 years old,High school/GED,Back-end developer,100-499,Hybrid,7,5,4,1,1,8,73200.0
Sweden,45-54 years old,Some college,Back-end developer,20-99,In-person,16,16,4,1,1,7,120400.0
United States,35-44 years old,Master's degree,Front-end developer,20-99,In-person,15,15,4,1,1,5,128700.0
Ukraine,35-44 years old,Master's degree,Mobile developer,"10,000 or more",In-person,14,14,5,0,1,6,35500.0
Brazil,55-64 years old,Master's degree,Full-stack developer,20-99,Hybrid,28,25,1,1,1,1,58500.0
India,25-34 years old,"Professional degree (JD, MD, etc.)",Full-stack developer,"10,000 or more",In-person,4,3,4,1,0,4,45900.0
Poland,18-24 years old,Some college,DevOps/SRE/platform engineer,20-99,Hybrid,2,0,4,1,1,8,37100.0
Russia,45-54 years old,Some college,Data/business analyst,20-99,Hybrid,17,13,9,1,1,10,35500.0
United States,25-34 years old,Bachelor's degree,Back-end developer,500-999,In-person,8,6,4,1,1,6,185600.0
United States,45-54 years old,"Professional degree (JD, MD, etc.)",Full-stack developer,2-9 employees,Hybrid,20,19,7,0,1,10,174400.0
India,45-54 years old,Master's degree,Back-end developer,"10,000 or more",Fully remote,23,23,3,0,1,8,43100.0
United States,18-24 years old,Bachelor's degree,Full-stack developer,"10,000 or more",Fully remote,3,0,9,1,1,5,
India,45-54 years old,High school/GED,DevOps/SRE/platform engineer,"1,000-4,999",Fully remote,19,18,5,1,1,7,33000.0
France,25-34 years old,Bachelor's degree,Desktop/embedded developer,"10,000 or more",Hybrid,1,0,5,1,1,9,56800.0
Australia,25-34 years old,Bachelor's degree,Full-stack developer,Just me,Hybrid,6,2,2,1,0,8,90700.0
India,35-44 years old,Bachelor's degree,DevOps/SRE/platform engineer,100-499,Hybrid,10,8,5,1,0,9,29100.0
India,45-54 years old,"Other doctoral degree (Ph.D, Ed.D, etc.)",Front-end developer,"10,000 or more",Fully remote,25,23,8,1,1,8,55600.0
Netherlands,18-24 years old,Bachelor's degree,Data/business analyst,100-499,Hybrid,4,0,7,1,0,8,58600.0
India,25-34 years old,"Professional degree (JD, MD, etc.)",Engineer (other),Just me,Fully remote,8,5,5,1,1,6,31000.0
Australia,35-44 years old,Bachelor's degree,Full-stack developer,10-19,Fully remote,11,11,4,0,1,4,98100.0
Italy,35-44 years old,Master's degree,Full-stack developer,100-499,Hybrid,8,8,4,1,0,3,65200.0
Italy,35-44 years old,Master's degree,Front-end developer,"1,000-4,999",Hybrid,14,11,4,1,1,9,
France,18-24 years old,Bachelor's degree,Data/business analyst,10-19,Hybrid,7,3,8,1,1,8,
India,25-34 years old,Bachelor's degree,Security professional,100-499,In-person,2,1,4,1,1,9,33800.0
United States,25-34 years old,Master's degree,Front-end developer,Just me,Hybrid,9,7,6,1,1,3,116300.0
Poland,35-44 years old,Master's degree,Full-stack developer,100-499,Hybrid,10,9,3,1,1,8,83800.0
Italy,25-34 years old,High school/GED,Full-stack developer,"10,000 or more",In-person,6,4,3,0,1,8,
United States,25-34 years old,Bachelor's degree,Data scientist/ML engineer,500-999,Hybrid,8,7,5,1,1,6,175400.0
United States,55-64 years old,Bachelor's degree,Front-end developer,100-499,Fully remote,30,26,4,1,0,7,199400.0
Australia,18-24 years old,"Professional degree (JD, MD, etc.)",Front-end developer,10-19,Fully remote,6,2,3,1,1,7,136200.0
United States,65 years or older,"Other doctoral degree (Ph.D, Ed.D, etc.)",Back-end developer,20-99,Fully remote,37,34,1,1,0,6,315400.0
United States,35-44 years old,Some college,Data scientist/ML engineer,2-9 employees,In-person,13,12,1,1,1,5,223300.0
Russia,45-54 years old,Some college,DevOps/SRE/platform engineer,"1,000-4,999",In-person,14,13,7,1,1,10,36500.0
United States,25-34 years old,"Other doctoral degree (Ph.D, Ed.D, etc.)",Back-end developer,2-9 employees,Hybrid,3,0,2,1,1,9,
United States,18-24 years old,Bachelor's degree,Full-stack developer,100-499,In-person,6,3,2,1,0,8,128300.0
United Kingdom,35-44 years old,Bachelor's degree,Desktop/embedded developer,"1,000-4,999",Hybrid,19,15,2,1,1,9,134600.0
Poland,45-54 years old,High school/GED,Mobile developer,"1,000-4,999",In-person,21,17,4,0,1,9,36800.0
India,35-44 years old,Bachelor's degree,Back-end developer,500-999,Hybrid,12,11,6,1,0,3,38400.0
India,25-34 years old,Master's degree,Full-stack developer,500-999,Hybrid,10,6,4,1,1,7,25800.0
Canada,35-44 years old,Bachelor's degree,Full-stack developer,2-9 employees,Hybrid,18,14,5,1,0,7,131200.0
Germany,35-44 years old,Bachelor's degree,Full-stack developer,10-19,Fully remote,7,6,3,0,1,4,84200.0
United States,35-44 years old,"Professional degree (JD, MD, etc.)",Full-stack developer,100-499,Fully remote,12,9,1,1,1,5,139200.0
United States,35-44 years old,Some college,Front-end developer,20-99,Fully remote,12,11,5,1,1,4,88500.0
Canada,45-54 years old,High school/GED,Full-stack developer,Just me,Hybrid,22,22,4,0,1,7,
Netherlands,35-44 years old,Master's degree,Front-end developer,"5,000-9,999",Fully remote,20,19,1,1,0,5,133200.0
Poland,18-24 years old,Master's degree,Full-stack developer,"1,000-4,999",Hybrid,1,1,9,0,0,5,59400.0
Poland,25-34 years old,Bachelor's degree,Full-stack developer,20-99,Hybrid,2,1,3,1,1,7,47000.0
Netherlands,18-24 years old,Bachelor's degree,Front-end developer,2-9 employees,Fully remote,3,3,1,1,1,5,77000.0
United States,25-34 years old,Bachelor's degree,Back-end developer,500-999,In-person,9,9,4,1,1,7,176600.0
Russia,25-34 years old,Master's degree,Full-stack developer,20-99,Fully remote,6,5,2,1,1,4,76900.0
Russia,18-24 years old,High school/GED,DevOps/SRE/platform engineer,20-99,Hybrid,4,0,6,1,0,8,
United Kingdom,25-34 years old,Bachelor's degree,Full-stack developer,"1,000-4,999",Hybrid,10,8,3,1,1,5,
India,18-24 years old,Some college,Back-end developer,20-99,Hybrid,7,3,1,1,1,8,20700.0
Canada,35-44 years old,Master's degree,Front-end developer,10-19,Fully remote,9,9,5,1,1,8,103700.0
United Kingdom,55-64 years old,Bachelor's degree,DevOps/SRE/platform engineer,100-499,Hybrid,30,29,3,1,1,10,147500.0
United States,18-24 years old,Bachelor's degree,Back-end developer,"10,000 or more",Fully remote,5,4,3,1,1,1,121300.0
Canada,55-64 years old,High school/GED,Back-end developer,"10,000 or more",In-person,33,32,1,0,1,9,94200.0
Netherlands,25-34 years old,High school/GED,Front-end developer,"10,000 or more",In-person,6,5,8,1,1,7,58800.0
Netherlands,25-34 years old,Master's degree,Back-end developer,100-499,Fully remote,6,4,5,1,1,3,84900.0
United States,18-24 years old,Master's degree,Desktop/embedded developer,"5,000-9,999",Hybrid,8,5,3,1,1,8,171200.0
United States,25-34 years old,Master's degree,Full-stack developer,"10,000 or more",In-person,1,1,4,1,0,2,124600.0
France,35-44 years old,Master's degree,DevOps/SRE/platform engineer,100-499,In-person,15,13,3,1,1,9,135500.0
Spain,35-44 years old,Some college,Full-stack developer,20-99,In-person,12,8,2,1,1,8,
United Kingdom,18-24 years old,Master's degree,Security professional,"1,000-4,999",Hybrid,8,5,4,1,1,4,70900.0
Brazil,18-24 years old,Some college,Back-end developer,"10,000 or more",In-person,4,1,6,1,0,8,59600.0
United States,25-34 years old,Some college,DevOps/SRE/platform engineer,"10,000 or more",Fully remote,10,9,6,1,1,4,
Canada,25-34 years old,Master's degree,Back-end developer,20-99,Hybrid,8,6,7,1,1,7,
Sweden,25-34 years old,Master's degree,Full-stack developer,"10,000 or more",Fully remote,5,1,3,1,1,1,87400.0
France,25-34 years old,Master's degree,Full-stack developer,100-499,Hybrid,10,9,6,1,1,10,136800.0
Ukraine,35-44 years old,Master's degree,DevOps/SRE/platform engineer,20-99,Hybrid,18,17,8,1,1,2,69000.0
United Kingdom,45-54 years old,"Other doctoral degree (Ph.D, Ed.D, etc.)",Back-end developer,"10,000 or more",Hybrid,23,23,1,0,1,8,
Spain,25-34 years old,Some college,Back-end developer,"10,000 or more",In-person,6,3,6,1,1,8,60600.0
United States,45-54 years old,"Other doctoral degree (Ph.D, Ed.D, etc.)",Full-stack developer,"1,000-4,999",In-person,23,19,4,1,0,8,175500.0
United States,25-34 years old,Bachelor's degree,Data/business analyst,"10,000 or more",Hybrid,8,5,7,1,1,2,
United States,25-34 years old,Master's degree,Full-stack developer,"1,000-4,999",In-person,5,3,4,1,1,8,174700.0
Germany,25-34 years old,Master's degree,Full-stack developer,100-499,In-person,10,10,3,1,0,7,84400.0
India,35-44 years old,Bachelor's degree,Data/business analyst,"10,000 or more",Hybrid,13,12,5,0,0,8,29200.0
Brazil,55-64 years old,Master's degree,Mobile developer,"10,000 or more",Fully remote,20,20,2,1,1,7,54600.0
Russia,35-44 years old,Bachelor's degree,Full-stack developer,20-99,Fully remote,14,13,1,1,1,6,37000.0
Canada,25-34 years old,"Professional degree (JD, MD, etc.)",DevOps/SRE/platform engineer,20-99,Fully remote,4,4,1,1,0,5,
United States,35-44 years old,Some college,Full-stack developer,100-499,In-person,13,12,7,1,1,7,206200.0
Ukraine,18-24 years old,Bachelor's degree,Full-stack developer,"10,000 or more",Fully remote,3,0,2,1,1,6,34300.0
United Kingdom,45-54 years old,High school/GED,DevOps/SRE/platform engineer,"5,000-9,999",Fully remote,25,22,5,1,1,8,114100.0
Brazil,25-34 years old,Bachelor's degree,Data scientist/ML engineer,"10,000 or more",In-person,11,8,9,0,1,5,43400.0
Russia,25-34 years old,Associate's degree,Full-stack developer,100-499,Fully remote,9,6,4,1,1,8,50700.0
Italy,35-44 years old,High school/GED,Full-stack developer,"1,000-4,999",Hybrid,11,11,3,1,1,10,39800.0
United Kingdom,35-44 years old,Bachelor's degree,Full-stack developer,"10,000 or more",In-person,13,12,4,1,1,8,99500.0
Australia,18-24 years old,Bachelor's degree,Data scientist/ML engineer,20-99,In-person,5,2,7,1,1,7,111100.0
United Kingdom,35-44 years old,High school/GED,Data/business analyst,"1,000-4,999",Hybrid,10,10,4,1,1,4,64600.0
Germany,25-34 years old,Bachelor's degree,Full-stack developer,100-499,Hybrid,8,7,3,1,1,10,117300.0
United Kingdom,35-44 years old,"Other doctoral degree (Ph.D, Ed.D, etc.)",DevOps/SRE/platform engineer,"1,000-4,999",Fully remote,13,13,2,0,1,5,139800.0
Germany,45-54 years old,Some college,Full-stack developer,"1,000-4,999",In-person,28,25,4,1,1,7,105400.0
India,35-44 years old,Bachelor's degree,Desktop/embedded developer,"5,000-9,999",Hybrid,18,16,5,1,0,6,38500.0
Brazil,25-34 years old,High school/GED,Full-stack developer,20-99,In-person,3,3,4,1,0,4,31900.0
India,25-34 years old,Some college,Front-end developer,20-99,Hybrid,10,7,2,1,1,8,36500.0
Canada,25-34 years old,Master's degree,Full-stack developer,"5,000-9,999",Fully remote,6,2,4,1,0,3,110000.0
Brazil,35-44 years old,Bachelor's degree,Mobile developer,20-99,Hybrid,15,14,7,1,0,6,
Russia,25-34 years old,Bachelor's degree,Full-stack developer,20-99,Hybrid,6,3,3,1,1,5,30400.0
India,25-34 years old,Some college,Back-end developer,20-99,Fully remote,6,2,5,1,1,7,26700.0
Spain,25-34 years old,Master's degree,DevOps/SRE/platform engineer,2-9 employees,In-person,6,6,5,1,1,9,64700.0
Ukraine,18-24 years old,Master's degree,Back-end developer,"5,000-9,999",Fully remote,0,0,2,1,1,9,43400.0
France,35-44 years old,Some college,Full-stack developer,"1,000-4,999",Hybrid,11,7,5,0,1,7,61600.0
Netherlands,18-24 years old,High school/GED,Front-end developer,500-999,Hybrid,5,1,4,1,1,5,74900.0
India,35-44 years old,High school/GED,DevOps/SRE/platform engineer,"1,000-4,999",Fully remote,13,12,6,1,1,6,40400.0
Sweden,25-34 years old,Master's degree,Back-end developer,100-499,Hybrid,4,4,7,1,0,8,
France,18-24 years old,Some college,Full-stack developer,20-99,Hybrid,4,0,1,1,1,5,53000.0
India,25-34 years old,Bachelor's degree,Back-end developer,"10,000 or more",Fully remote,5,3,5,1,1,4,29600.0
India,18-24 years old,Some college,Data/business analyst,100-499,In-person,5,3,1,1,1,5,20300.0
Canada,25-34 years old,Some college,Full-stack developer,20-99,Hybrid,11,7,4,1,1,3,56300.0
United States,35-44 years old,Less than high school,Back-end developer,"1,000-4,999",Fully remote,13,12,8,1,1,5,198200.0
Poland,18-24 years old,Bachelor's degree,Front-end developer,20-99,In-person,5,5,5,1,0,2,46400.0
United States,45-54 years old,High school/GED,Full-stack developer,20-99,Hybrid,23,21,6,0,0,2,153000.0
Canada,18-24 years old,Bachelor's degree,Back-end developer,Just me,In-person,4,0,5,1,1,9,70800.0
Brazil,25-34 years old,Bachelor's degree,Data/business analyst,"10,000 or more",Hybrid,8,4,1,0,0,4,
Spain,35-44 years old,Bachelor's degree,Full-stack developer,100-499,Hybrid,11,8,6,1,1,9,
Brazil,25-34 years old,Master's degree,Data scientist/ML engineer,10-19,Hybrid,9,5,1,1,1,10,47300.0
Netherlands,18-24 years old,Master's degree,DevOps/SRE/platform engineer,"5,000-9,999",Hybrid,6,5,1,1,1,6,98800.0
Russia,25-34 years old,Master's degree,Full-stack developer,"10,000 or more",Fully remote,9,7,4,1,0,6,
Canada,25-34 years old,"Other doctoral degree (Ph.D, Ed.D, etc.)",Full-stack developer,100-499,Fully remote,12,9,6,1,1,5,132800.0
Spain,45-54 years old,Bachelor's degree,Mobile developer,Just me,In-person,21,19,7,1,0,3,93000.0
United States,25-34 years old,Some college,Data scientist/ML engineer,20-99,Hybrid,11,9,4,1,0,8,122100.0
Australia,35-44 years old,Bachelor's degree,Full-stack developer,20-99,Fully remote,12,11,6,0,1,9,125200.0
United States,45-54 years old,Bachelor's degree,Full-stack developer,"1,000-4,999",In-person,28,24,3,0,0,8,200700.0
Ukraine,25-34 years old,Bachelor's degree,Front-end developer,100-499,Hybrid,6,5,2,1,1,3,26200.0
India,45-54 years old,Less than high school,Back-end developer,20-99,In-person,26,22,2,0,0,7,40900.0
United States,25-34 years old,Bachelor's degree,Back-end developer,"1,000-4,999",In-person,12,9,2,1,1,8,128800.0
United States,55-64 years old,"Other doctoral degree (Ph.D, Ed.D, etc.)",Data/business analyst,500-999,Fully remote,28,27,6,1,1,8,343100.0
United States,18-24 years old,Bachelor's degree,Back-end developer,"10,000 or more",Fully remote,3,2,2,1,1,2,202600.0
Germany,35-44 years old,"Other doctoral degree (Ph.D, Ed.D, etc.)",DevOps/SRE/platform engineer,500-999,In-person,16,16,2,1,1,8,134400.0
United Kingdom,25-34 years old,Bachelor's degree,Desktop/embedded developer,100-499,Fully remote,6,5,7,1,1,7,92600.0
Russia,25-34 years old,Some college,Full-stack developer,"10,000 or more",In-person,1,1,1,0,1,9,31500.0
India,35-44 years old,Bachelor's degree,Data scientist/ML engineer,20-99,Hybrid,22,18,1,1,1,4,43600.0
United States,35-44 years old,Bachelor's degree,Front-end developer,20-99,Fully remote,15,11,1,1,1,2,131400.0
Poland,18-24 years old,Bachelor's degree,Full-stack developer,"5,000-9,999",Hybrid,6,2,5,0,0,9,49100.0
United States,25-34 years old,Bachelor's degree,Full-stack developer,100-499,Fully remote,8,8,5,1,1,3,150400.0
Russia,35-44 years old,Bachelor's degree,Front-end developer,100-499,Hybrid,14,10,8,1,1,6,34600.0
India,35-44 years old,High school/GED,Front-end developer,"10,000 or more",Hybrid,11,9,3,1,0,9,24700.0
Canada,55-64 years old,Bachelor's degree,Data/business analyst,500-999,Fully remote,30,29,7,1,0,5,105300.0
United States,35-44 years old,Bachelor's degree,DevOps/SRE/platform engineer,"5,000-9,999",In-person,7,7,3,1,1,6,239200.0
United States,55-64 years old,"Other doctoral degree (Ph.D, Ed.D, etc.)",Full-stack developer,"5,000-9,999",Hybrid,31,27,4,1,1,7,278900.0
Netherlands,35-44 years old,Bachelor's degree,Data scientist/ML engineer,10-19,Hybrid,15,13,1,1,1,8,177900.0
Germany,25-34 years old,Master's degree,Full-stack developer,"1,000-4,999",Fully remote,5,4,2,1,1,7,94100.0
Italy,18-24 years old,Bachelor's degree,Full-stack developer,"10,000 or more",Hybrid,1,0,4,0,1,2,53400.0
United Kingdom,35-44 years old,Some college,Full-stack developer,100-499,Fully remote,21,17,5,1,1,8,95200.0
Spain,35-44 years old,Bachelor's degree,Front-end developer,"1,000-4,999",Hybrid,14,12,6,1,1,8,
Italy,18-24 years old,Bachelor's degree,Full-stack developer,500-999,Hybrid,6,6,5,1,1,3,42400.0
India,25-34 years old,"Other doctoral degree (Ph.D, Ed.D, etc.)",Back-end developer,20-99,Fully remote,8,4,4,1,1,8,28600.0
Netherlands,55-64 years old,Master's degree,Full-stack developer,20-99,Hybrid,26,25,5,0,1,7,126100.0
United States,25-34 years old,"Other doctoral degree (Ph.D, Ed.D, etc.)",Back-end developer,100-499,Hybrid,7,6,2,1,1,1,
France,25-34 years old,Master's degree,Data/business analyst,100-499,Fully remote,5,4,7,1,1,8,105500.0
Poland,25-34 years old,Bachelor's degree,Security professional,100-499,Hybrid,5,1,4,0,1,7,55900.0
Germany,25-34 years old,Master's degree,Desktop/embedded developer,"10,000 or more",Hybrid,12,9,4,1,0,3,125700.0
United States,25-34 years old,Bachelor's degree,Front-end developer,2-9 employees,Fully remote,6,3,5,1,1,4,159000.0
Canada,25-34 years old,Master's degree,Desktop/embedded developer,100-499,Fully remote,3,0,5,1,1,8,114200.0
Russia,18-24 years old,Bachelor's degree,Data scientist/ML engineer,100-499,Hybrid,7,5,1,1,0,10,50400.0
Ukraine,35-44 years old,Bachelor's degree,Data scientist/ML engineer,"10,000 or more",Hybrid,14,10,1,1,1,4,52500.0
Poland,25-34 years old,Bachelor's degree,Full-stack developer,100-499,Fully remote,4,3,1,1,1,6,45100.0
India,45-54 years old,High school/GED,Back-end developer,"5,000-9,999",Hybrid,17,15,5,0,0,6,
Spain,45-54 years old,Bachelor's degree,Back-end developer,"1,000-4,999",In-person,28,25,1,1,1,7,135800.0
Russia,25-34 years old,Master's degree,Back-end developer,500-999,Hybrid,1,1,6,0,1,4,59800.0
India,35-44 years old,Bachelor's degree,Back-end developer,10-19,In-person,14,12,5,0,1,7,41200.0
United States,25-34 years old,Bachelor's degree,Data scientist/ML engineer,20-99,Fully remote,10,8,6,1,1,9,179800.0
Spain,45-54 years old,Associate's degree,Data scientist/ML engineer,20-99,In-person,25,21,7,0,1,8,84000.0
Russia,25-34 years old,Master's degree,Full-stack developer,2-9 employees,In-person,7,5,6,0,1,4,32600.0
United States,35-44 years old,Bachelor's degree,Full-stack developer,100-499,Fully remote,11,7,6,1,1,8,127000.0
Sweden,35-44 years old,"Other doctoral degree (Ph.D, Ed.D, etc.)",Front-end developer,500-999,Fully remote,10,10,8,1,0,7,159400.0
United Kingdom,25-34 years old,"Other doctoral degree (Ph.D, Ed.D, etc.)",Full-stack developer,10-19,Hybrid,7,6,7,1,1,3,79200.0
Italy,18-24 years old,"Professional degree (JD, MD, etc.)",Full-stack developer,10-19,In-person,1,0,8,0,1,6,50200.0
Germany,35-44 years old,High school/GED,DevOps/SRE/platform engineer,"1,000-4,999",Fully remote,16,13,2,1,1,5,67700.0
United Kingdom,35-44 years old,Bachelor's degree,Back-end developer,10-19,Fully remote,17,14,4,1,1,9,90200.0
India,25-34 years old,"Other doctoral degree (Ph.D, Ed.D, etc.)",DevOps/SRE/platform engineer,10-19,Hybrid,8,8,4,1,1,5,59800.0
Russia,35-44 years old,Master's degree,DevOps/SRE/platform engineer,"10,000 or more",Hybrid,9,8,2,1,1,7,58300.0
Germany,25-34 years old,"Professional degree (JD, MD, etc.)",Mobile developer,Just me,In-person,15,12,3,1,1,8,160600.0
Australia,35-44 years old,Bachelor's degree,Full-stack developer,20-99,Hybrid,16,14,4,1,0,2,151500.0
United States,25-34 years old,Bachelor's degree,Full-stack developer,2-9 employees,Hybrid,9,5,3,1,1,4,193700.0
Netherlands,45-54 years old,Some college,Full-stack developer,"10,000 or more",Fully remote,26,23,2,1,1,8,
Germany,25-34 years old,Master's degree,Full-stack developer,500-999,Hybrid,12,12,3,1,0,6,
United States,25-34 years old,Master's degree,Back-end developer,2-9 employees,Hybrid,2,1,1,0,0,8,202100.0
United States,18-24 years old,High school/GED,Data scientist/ML engineer,500-999,In-person,1,1,4,1,0,8,184600.0
